time,iops
383,223982.487506
384,228845.969272
385,223158.715538
386,226910.982109
387,224126.878424
388,225142.292203
389,223674.768294
390,219904.192515
391,224688.872605
392,221640.403178
393,226801.096080
394,223740.078060
395,228255.099008
396,228103.292881
397,226952.253693
398,230216.072839
399,226507.187922
400,232891.125348
401,228624.588104
402,231173.832352
403,229521.821795
404,227832.080766
405,235005.869579
406,229698.299827
407,232853.886982
408,229431.599095
409,228723.999614
410,229657.112103
411,228092.182638
412,234895.313974
413,228805.971845
414,231950.517782
415,231248.855396
416,228135.022341
417,230551.104661
418,224124.443818
419,229292.152422
420,225510.432423
421,226891.044305
422,226191.830574
423,225998.014589
424,232781.781336
425,230229.684170
426,232044.548334
427,229080.370154
428,229129.804856
429,230272.519840
430,224097.495795
431,230305.047184
432,224066.689147
433,231696.440125
434,231100.054616
435,231249.187168
436,233155.120179
437,228527.466942
438,234482.569792
439,230025.828667
440,231470.248255
441,231623.172081
442,228550.724526
443,236448.245120
444,229207.341342
445,234798.951961
446,231740.853746
447,228166.426308
448,233602.522617
449,229764.753431
450,234245.634053
451,226842.962604
452,228394.623277
453,229496.337484
454,226092.376019
455,230411.603922
456,225978.128248
457,231289.423754
458,229937.298482
459,228713.534516
460,229941.399024
461,225634.654064
462,230713.177782
463,225781.486291
464,231339.050316
465,229819.502862
466,228163.389245
467,233746.635967
468,230687.954736
469,236808.760406
470,231160.912428
471,232338.030304
472,231971.558511
473,226947.402719
474,235344.341947
475,230573.460382
476,233767.981861
477,231647.440029
478,229378.192188
479,234914.207988
480,228340.291938
481,235524.729753
482,231991.846881
483,233043.347609
484,235683.794052
485,225903.471805
486,231353.392683
487,224866.425275
488,232556.012047
489,230383.987671
490,227418.655743
491,228864.912619
492,222111.812894
493,231426.576068
494,225959.141373
495,230560.451796
496,227320.392709
497,226027.876153
498,231413.857816
499,224829.503995
500,231360.231907
501,227046.634697
502,229234.332298
503,229200.093756
504,228181.195206
505,236066.546348
506,232782.337299
507,238423.464848
508,235547.441903
509,233494.139161
510,238027.114018
511,233194.154584
512,238307.190225
513,236912.835208
514,235624.004768
515,239433.769673
516,230244.742000
517,238237.534765
518,234341.977409
519,236483.031984
520,239157.330214
521,230151.119590
522,233661.225097
523,229489.397243
524,230164.777156
525,231558.547942
526,227800.738161
527,232179.373824
528,224821.866024
529,228738.157078
530,228234.736582
531,229746.376533
532,232322.208871
533,226748.915828
534,233515.600470
535,229450.708210
536,232854.104076
537,233274.445266
538,229087.581519
539,235114.498666
540,227508.454884
541,238841.848933
542,234224.798783
543,237064.357004
544,240061.587406
545,232295.573860
546,238400.620784
547,234771.103430
548,236235.351802
549,240931.704921
550,231864.488709
551,239745.225410
552,232049.251334
553,235493.448154
554,239377.683445
555,233934.008951
556,240658.055924
557,234133.855470
558,234933.649864
559,236900.168574
560,231463.145161
561,237851.155964
562,236134.787588
563,235088.249244
564,237398.778715
565,230476.454453
566,237233.977994
567,232480.638736
568,236478.578073
569,237037.661043
570,232827.144131
571,236475.956064
572,232233.519826
573,235847.049327
574,235932.592368
575,235327.139648
576,240553.689846
577,233371.431849
578,240214.067066
579,235767.453438
580,237926.068255
581,241136.372600
582,234611.078290
583,240502.653101
584,236412.674618
585,239427.908045
