latency,cdf
14.9670,7.825856015616262e-05
14.9680,7.827782617294159e-05
14.9940,7.877874260919473e-05
15.0020,7.897140277698439e-05
15.0040,7.906773286087922e-05
15.0280,7.958791531391133e-05
15.0350,7.974204344814306e-05
15.0480,7.999250166626963e-05
15.0500,8.003103369982756e-05
15.0540,8.008883175016445e-05
15.0980,8.099433453877589e-05
15.1010,8.107139860589177e-05
15.1390,8.178424122671353e-05
15.1430,8.195763537772423e-05
15.1450,8.197690139450319e-05
15.1740,8.247781783075633e-05
15.1860,8.268974401532496e-05
15.2340,8.36530448542733e-05
15.2520,8.401909917307367e-05
15.2800,8.453928162610576e-05
15.2880,8.46356117100006e-05
15.2960,8.475120781067439e-05
15.3100,8.50401980623589e-05
15.3450,8.563744458250686e-05
15.3910,8.62539571194338e-05
15.4020,8.640808525366553e-05
15.4090,8.648514932078139e-05
15.4480,8.704386380737143e-05
15.4640,8.727505600871903e-05
15.4710,8.74099181261718e-05
15.4880,8.754478024362457e-05
15.5320,8.802643066309873e-05
15.5480,8.831542091478322e-05
15.5680,8.89126674349312e-05
15.5830,8.968330810608986e-05
15.5840,8.97796381899847e-05
15.5880,9.004936242489023e-05
15.6260,9.881540005932007e-05
15.6350,0.0001026108053647765
15.6370,0.0001039401605225252
15.6490,0.00011679059371409596
15.6520,0.00011946857004637234
15.6540,0.0001214529697746059
15.6560,0.00012407314805654537
15.6650,0.00014472631804359764
15.6670,0.00014846392529871717
15.6700,0.00015584280972506142
15.6780,0.00017896202985982141
15.7330,0.0007254233297784321
15.7490,0.0011558068786037686
15.7600,0.0015566170916733913
15.7720,0.0020974141826589857
15.7820,0.0028097366210277207
15.7890,0.00330737783442843
15.7930,0.003571591988535179
15.7980,0.004052529565388524
15.8020,0.004636155011673761
15.8140,0.005933239591317693
15.8320,0.00914205248390493
15.8340,0.009476722461372359
15.8360,0.009898898687049856
15.8430,0.012097228265597068
15.8470,0.013097096004391882
15.8700,0.02115083046646976
15.8710,0.021487484843665427
15.8870,0.03012505667821311
15.8880,0.03059998325783142
15.9010,0.03938097132128173
